Hour   Snow Flag   Rain Flag
    1        9           9
    2        0           0
    3        9           9
    4        9           9
    5        0           0
    6        9           9
    7        8           8
    8        8           8
    9        8           8
   10        8           8
   11        8           8
   12        8           8
   13        8           8
   14        8           8
   15        8           8
   16        8           8
   17        8           8
   18        8           8
   19        8           8
   20        8           8
   21        8           8
   22        8           8
   23        8           8
   24        8           8
